dataset,range_power,support_scale,alpha,ap,status
truckscenes,1p0,1p0,0p20,17.6867,complete
truckscenes,1p0,1p0,0p30,17.5828,complete
truckscenes,1p0,2p0,0p05,17.6069,complete
truckscenes,1p0,2p0,0p10,17.6466,complete
truckscenes,1p0,2p0,0p20,17.8118,complete
truckscenes,1p0,2p0,0p30,17.8752,complete
truckscenes,1p0,4p0,0p05,17.6151,complete
truckscenes,1p0,4p0,0p10,17.6854,complete
truckscenes,1p0,4p0,0p20,17.9070,complete
truckscenes,1p0,4p0,0p30,17.2842,complete
truckscenes,1p0,8p0,0p05,17.4474,complete
truckscenes,1p0,8p0,0p10,17.7317,complete
truckscenes,1p0,8p0,0p20,17.4477,complete
truckscenes,1p0,8p0,0p30,17.1053,complete
truckscenes,2p0,1p0,0p05,17.6135,complete
truckscenes,2p0,1p0,0p10,17.6551,complete
truckscenes,2p0,1p0,0p20,17.4661,complete
truckscenes,2p0,1p0,0p30,17.2979,complete
truckscenes,2p0,2p0,0p05,17.5721,complete
truckscenes,2p0,2p0,0p10,17.4756,complete
truckscenes,2p0,2p0,0p20,17.2046,complete
truckscenes,2p0,2p0,0p30,16.8254,complete
truckscenes,2p0,4p0,0p05,17.4631,complete
truckscenes,2p0,4p0,0p10,17.2060,complete
truckscenes,2p0,4p0,0p20,16.7305,complete
truckscenes,2p0,4p0,0p30,16.1623,complete
truckscenes,2p0,8p0,0p05,17.1873,complete
truckscenes,2p0,8p0,0p10,17.0159,complete
truckscenes,2p0,8p0,0p20,16.1529,complete
truckscenes,2p0,8p0,0p30,15.1814,complete
v2xradarv,0p0,1p0,0p05,42.6220,complete
v2xradarv,0p0,1p0,0p10,42.5469,complete
v2xradarv,0p0,1p0,0p20,42.4573,complete
v2xradarv,0p0,1p0,0p30,42.4379,complete
v2xradarv,0p0,2p0,0p05,42.6177,complete
v2xradarv,0p0,2p0,0p10,42.4941,complete
v2xradarv,0p0,2p0,0p20,42.4736,complete
v2xradarv,0p0,2p0,0p30,42.3446,complete
v2xradarv,0p0,4p0,0p05,42.5523,complete
v2xradarv,0p0,4p0,0p10,42.4881,complete
v2xradarv,0p0,4p0,0p20,42.3464,complete
v2xradarv,0p0,4p0,0p30,41.9053,complete
v2xradarv,0p0,8p0,0p05,42.4944,complete
v2xradarv,0p0,8p0,0p10,42.4663,complete
v2xradarv,0p0,8p0,0p20,42.1710,complete
v2xradarv,0p0,8p0,0p30,41.8922,complete
v2xradarv,1p0,1p0,0p05,42.6629,complete
v2xradarv,1p0,1p0,0p10,42.5931,complete
v2xradarv,1p0,1p0,0p20,42.4876,complete
v2xradarv,1p0,1p0,0p30,42.4664,complete
v2xradarv,1p0,2p0,0p05,42.6358,complete
v2xradarv,1p0,2p0,0p10,42.5011,complete
v2xradarv,1p0,2p0,0p20,42.5289,complete
v2xradarv,1p0,2p0,0p30,42.5317,complete
v2xradarv,1p0,4p0,0p05,42.5665,complete
v2xradarv,1p0,4p0,0p10,42.5158,complete
v2xradarv,1p0,4p0,0p20,42.4880,complete
v2xradarv,1p0,4p0,0p30,42.1509,complete
v2xradarv,1p0,8p0,0p05,42.5358,complete
v2xradarv,1p0,8p0,0p10,42.4519,complete
v2xradarv,1p0,8p0,0p20,42.1830,complete
v2xradarv,1p0,8p0,0p30,41.9852,complete
v2xradarv,2p0,1p0,0p05,42.6786,complete
v2xradarv,2p0,1p0,0p10,42.6152,complete
v2xradarv,2p0,1p0,0p20,42.6084,complete
v2xradarv,2p0,1p0,0p30,42.5672,complete
v2xradarv,2p0,2p0,0p05,42.6614,complete
v2xradarv,2p0,2p0,0p10,42.5602,complete
v2xradarv,2p0,2p0,0p20,42.4428,complete
v2xradarv,2p0,2p0,0p30,42.4582,complete
v2xradarv,2p0,4p0,0p05,42.5477,complete
v2xradarv,2p0,4p0,0p10,42.4234,complete
v2xradarv,2p0,4p0,0p20,42.4347,complete
v2xradarv,2p0,4p0,0p30,42.2792,complete
v2xradarv,2p0,8p0,0p05,42.4708,complete
v2xradarv,2p0,8p0,0p10,42.2732,complete
v2xradarv,2p0,8p0,0p20,42.2129,complete
v2xradarv,2p0,8p0,0p30,41.7120,complete
