module,dataset,seed,ap,complete,error,log
bevgate_replay10,truckscenes,2028,13.891,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay10_truckscenes_seed2028_gpu1.log
bevgate_replay10,v2xradarv,2028,38.6544,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay10_v2xradarv_seed2028_gpu2.log
bevgate_replay5,astyx,2028,25.6215,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay5_astyx_seed2028_gpu0.log
bevgate_replay5,kradar,2028,50.4758,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay5_kradar_seed2028_gpu3.log
bevgate_replay5,truckscenes,2028,16.8717,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay5_truckscenes_seed2028_gpu1.log
bevgate_replay5,v2xradarv,2028,37.8685,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_replay5_v2xradarv_seed2028_gpu2.log
bevgate,truckscenes,2026,10.854,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_truckscenes_seed2026_gpu1.log
bevgate,truckscenes,2027,16.7251,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_truckscenes_seed2027_gpu1.log
bevgate,truckscenes,2028,16.9852,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_truckscenes_seed2028_gpu1.log
bevgate,v2xradarv,2026,42.2351,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_v2xradarv_seed2026_gpu2.log
bevgate,v2xradarv,2027,43.6102,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_v2xradarv_seed2027_gpu2.log
bevgate,v2xradarv,2028,41.1886,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_v2xradarv_seed2028_gpu2.log
corner02,astyx,2028,31.1266,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_corner02_astyx_seed2028_gpu0.log
corner,astyx,2028,31.156,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_corner_astyx_seed2028_gpu1.log
corner,truckscenes,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_corner_truckscenes_seed2028_gpu2.log
corner,v2xradarv,2028,42.3051,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_corner_v2xradarv_seed2028_gpu3.log
dapg2,astyx,2028,26.0628,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_astyx_seed2028_gpu0.log
dapg2,astyx,2034,28.1818,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_astyx_seed2034_gpu3.log
dapg2,astyx,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_astyx_seed2035_gpu0.log
